incident_id,latitude,longitude,timestamp,zone_hint,cluster_id
INC0081,17.44585871193061,78.39023533641276,2026-02-13 15:43:00,Isolated stretch near HITEC City outskirts,1
INC0082,17.435002978651127,78.56402372626843,2026-02-13 20:53:00,background/unclustered,-1
INC0083,17.43426364452307,78.46673386870435,2026-02-14 09:13:00,Under-lit road near Begumpet,3
INC0084,17.398886270969992,78.5924099555612,2026-02-14 21:10:00,background/unclustered,-1
INC0085,17.493829554803852,78.36499515180655,2026-02-14 22:39:00,Poorly lit stretch near Miyapur,2
INC0086,17.454791681997364,78.39479493230789,2026-02-14 22:41:00,Isolated stretch near HITEC City outskirts,1
INC0087,17.50149813744379,78.46506796264687,2026-02-16 00:41:00,background/unclustered,-1
INC0088,17.453141594532546,78.39089505613802,2026-02-16 02:29:00,Isolated stretch near HITEC City outskirts,1
INC0089,17.430308533121334,78.5467180256451,2026-02-16 13:15:00,background/unclustered,-1
INC0090,17.439538106360306,78.4708268343079,2026-02-17 03:53:00,Under-lit road near Begumpet,3
INC0091,17.489836081980716,78.45013359273922,2026-02-17 18:07:00,background/unclustered,-1
INC0092,17.443374296091122,78.46323471408704,2026-02-18 00:46:00,Under-lit road near Begumpet,3
INC0093,17.410829295584975,78.55980382662888,2026-02-18 18:39:00,Secluded area near Uppal,0
INC0094,17.448220370434488,78.46622255996986,2026-02-20 02:57:00,Under-lit road near Begumpet,3
INC0095,17.411219882589204,78.56178970007558,2026-02-20 09:08:00,Secluded area near Uppal,0
INC0096,17.48606976639874,78.56154983369193,2026-02-20 13:31:00,background/unclustered,-1
INC0097,17.42221164506423,78.50005927726383,2026-02-21 01:44:00,background/unclustered,-1
INC0098,17.446442313852895,78.47259597356236,2026-02-21 18:50:00,Under-lit road near Begumpet,3
INC0099,17.499545504783217,78.36043381670089,2026-02-22 03:44:00,Poorly lit stretch near Miyapur,2
INC0100,17.449717678340477,78.38397874964619,2026-02-22 06:07:00,Isolated stretch near HITEC City outskirts,1
INC0101,17.41655476440695,78.56119581066844,2026-02-22 11:08:00,Secluded area near Uppal,-1
INC0102,17.40007899225303,78.55916421367458,2026-02-22 23:54:00,Secluded area near Uppal,0
INC0103,17.488536503074673,78.35898169213306,2026-02-23 17:01:00,Poorly lit stretch near Miyapur,2
INC0104,17.447295824127657,78.39084453153401,2026-02-24 19:43:00,Isolated stretch near HITEC City outskirts,1
INC0105,17.43749904726579,78.46640556102598,2026-02-25 16:21:00,Under-lit road near Begumpet,3
INC0106,17.470279463491245,78.35443150430868,2026-02-25 18:06:00,background/unclustered,-1
INC0107,17.465951131905452,78.44238926272494,2026-02-25 22:43:00,background/unclustered,-1
INC0108,17.493654532563617,78.3653568149318,2026-02-26 01:26:00,Poorly lit stretch near Miyapur,2
INC0109,17.407721880915453,78.37461428177629,2026-02-26 19:00:00,background/unclustered,-1
INC0110,17.434237389044775,78.46857727061702,2026-02-26 23:15:00,Under-lit road near Begumpet,3
INC0111,17.445976487463906,78.38939932077128,2026-02-27 02:11:00,Isolated stretch near HITEC City outskirts,1
INC0112,17.43945713047073,78.46432597992931,2026-02-27 20:00:00,Under-lit road near Begumpet,3
INC0113,17.40030769504448,78.55455653800998,2026-02-28 23:33:00,Secluded area near Uppal,-1
INC0114,17.495714318517035,78.36278034105946,2026-03-01 22:27:00,Poorly lit stretch near Miyapur,2
INC0115,17.451554068869477,78.38657654273426,2026-03-01 22:56:00,Isolated stretch near HITEC City outskirts,1
INC0116,17.439925947456032,78.46634536544433,2026-03-02 00:27:00,Under-lit road near Begumpet,3
INC0117,17.45375773378928,78.39618811561522,2026-03-02 22:59:00,Isolated stretch near HITEC City outskirts,1
INC0118,17.404567560388674,78.55659602827899,2026-03-03 02:10:00,Secluded area near Uppal,0
INC0119,17.47726512986273,78.56129073712383,2026-03-03 21:19:00,background/unclustered,-1
INC0120,17.499837289593906,78.36324404462309,2026-03-03 23:10:00,Poorly lit stretch near Miyapur,2
INC0121,17.403694347918066,78.5501786803695,2026-03-04 05:22:00,Secluded area near Uppal,-1
INC0122,17.44584049696233,78.39283156976195,2026-03-04 14:50:00,Isolated stretch near HITEC City outskirts,1
INC0123,17.45182661206567,78.374261986681,2026-03-04 18:47:00,background/unclustered,-1
INC0124,17.326648257577,78.4973535913809,2026-03-04 23:05:00,background/unclustered,-1
INC0125,17.546087851850725,78.34487419280026,2026-03-05 16:29:00,background/unclustered,-1
INC0126,17.433673384297542,78.46781603605697,2026-03-06 19:44:00,Under-lit road near Begumpet,3
INC0127,17.407342458232435,78.56218346077554,2026-03-08 01:05:00,Secluded area near Uppal,0
INC0128,17.44090793720488,78.46641615095133,2026-03-08 22:11:00,Under-lit road near Begumpet,3
INC0129,17.40897341572422,78.56535881833973,2026-03-09 01:47:00,Secluded area near Uppal,0
INC0130,17.435265707328224,78.46841588172892,2026-03-10 01:28:00,Under-lit road near Begumpet,3
INC0131,17.46000074170923,78.3674103530918,2026-03-10 02:58:00,background/unclustered,-1
INC0132,17.32388382845867,78.48715779740297,2026-03-10 15:49:00,background/unclustered,-1
INC0133,17.445765093156265,78.46175655139528,2026-03-10 17:00:00,Under-lit road near Begumpet,3
INC0134,17.44889933486536,78.39206362947228,2026-03-11 03:41:00,Isolated stretch near HITEC City outskirts,1
INC0135,17.49074621048097,78.36450326968901,2026-03-11 04:10:00,Poorly lit stretch near Miyapur,2
INC0136,17.399415353765356,78.5695667997864,2026-03-11 22:04:00,Secluded area near Uppal,-1
INC0137,17.407134047292352,78.5605126304929,2026-03-13 00:28:00,Secluded area near Uppal,0
INC0138,17.4053727318883,78.56319714632711,2026-03-13 18:02:00,Secluded area near Uppal,0
INC0139,17.49140911191375,78.36562963898473,2026-03-13 23:58:00,Poorly lit stretch near Miyapur,2
INC0140,17.41042517123686,78.5567924325219,2026-03-14 03:36:00,Secluded area near Uppal,0
INC0141,17.506140338153074,78.36371576040109,2026-03-14 07:25:00,Poorly lit stretch near Miyapur,-1
INC0142,17.35681740681579,78.32195877713053,2026-03-15 19:45:00,background/unclustered,-1
INC0143,17.406686264948878,78.55718937021294,2026-03-15 21:58:00,Secluded area near Uppal,0
INC0144,17.447254666303518,78.46911833158048,2026-03-15 23:08:00,Under-lit road near Begumpet,3
INC0145,17.355140281230582,78.4255199366003,2026-03-17 02:06:00,background/unclustered,-1
INC0146,17.49344884523806,78.36254919376024,2026-03-17 23:24:00,Poorly lit stretch near Miyapur,2
INC0147,17.405546109452374,78.55965403184956,2026-03-18 17:35:00,Secluded area near Uppal,0
INC0148,17.54429354605533,78.42207238821686,2026-03-18 22:08:00,background/unclustered,-1
INC0149,17.41074442210708,78.55752167072706,2026-03-19 19:00:00,Secluded area near Uppal,0
INC0150,17.413580658226557,78.55880196941388,2026-03-20 22:01:00,Secluded area near Uppal,0
INC0151,17.326232544604544,78.37261350475876,2026-03-21 23:31:00,background/unclustered,-1
INC0152,17.492466568879273,78.36690123951763,2026-03-22 00:19:00,Poorly lit stretch near Miyapur,2
INC0153,17.440797292911174,78.38603287144444,2026-03-22 05:10:00,Isolated stretch near HITEC City outskirts,-1
INC0154,17.49262294242578,78.36656283499666,2026-03-23 01:58:00,Poorly lit stretch near Miyapur,2
INC0155,17.49062260844345,78.36319501912396,2026-03-24 18:23:00,Poorly lit stretch near Miyapur,2
INC0156,17.408006242272506,78.56568779604154,2026-03-24 19:43:00,Secluded area near Uppal,0
INC0157,17.440020974798873,78.46768792237506,2026-03-24 21:36:00,Under-lit road near Begumpet,3
INC0158,17.438915838150848,78.46504762126837,2026-03-24 23:51:00,Under-lit road near Begumpet,3
INC0159,17.361807768600794,78.56122497038174,2026-03-25 14:55:00,background/unclustered,-1
INC0160,17.437746965554158,78.47765703116484,2026-03-26 13:36:00,Under-lit road near Begumpet,-1
INC0161,17.47617019068416,78.36055603563688,2026-03-26 20:49:00,background/unclustered,-1
INC0162,17.40565237950976,78.5589088364905,2026-03-27 06:38:00,Secluded area near Uppal,0
INC0163,17.323475178947355,78.50178063546754,2026-03-27 14:04:00,background/unclustered,-1
INC0164,17.40563635403445,78.56035189660727,2026-03-29 19:51:00,Secluded area near Uppal,0
INC0165,17.408895828703233,78.5453502648525,2026-03-30 01:53:00,background/unclustered,-1
INC0166,17.408573932611855,78.56323968370832,2026-03-30 18:03:00,Secluded area near Uppal,0
INC0167,17.375515125458698,78.51958742027568,2026-03-30 22:38:00,background/unclustered,-1
INC0168,17.44492084541458,78.46233510255121,2026-03-31 10:09:00,Under-lit road near Begumpet,3
INC0169,17.408962328027798,78.55584086348804,2026-03-31 18:00:00,Secluded area near Uppal,0
INC0170,17.40679498311055,78.55857861941605,2026-04-02 02:32:00,Secluded area near Uppal,0
INC0171,17.45215056516,78.39066123025265,2026-04-02 06:54:00,Isolated stretch near HITEC City outskirts,1
INC0172,17.4460762204089,78.39098906068614,2026-04-02 23:14:00,Isolated stretch near HITEC City outskirts,1
INC0173,17.447406148858697,78.39435600197636,2026-04-03 00:23:00,Isolated stretch near HITEC City outskirts,1
INC0174,17.3404181360367,78.30625834178745,2026-04-06 20:36:00,background/unclustered,-1
INC0175,17.43636778382572,78.46974413226988,2026-04-06 21:24:00,Under-lit road near Begumpet,3
INC0176,17.498128714642675,78.36128442139879,2026-04-06 22:19:00,Poorly lit stretch near Miyapur,2
INC0177,17.496664396272077,78.36428574619262,2026-04-08 20:30:00,Poorly lit stretch near Miyapur,2
INC0178,17.449205153077994,78.3948896057303,2026-04-09 00:24:00,Isolated stretch near HITEC City outskirts,1
INC0179,17.44220694804186,78.4646594881683,2026-04-09 22:48:00,Under-lit road near Begumpet,3
INC0180,17.439550687801237,78.46661612160187,2026-04-09 22:48:00,Under-lit road near Begumpet,3
INC0181,17.419819732144074,78.48472260658266,2026-04-10 06:45:00,background/unclustered,-1
INC0182,17.444632692624726,78.3910034112789,2026-04-10 15:52:00,Isolated stretch near HITEC City outskirts,1
INC0183,17.4399222314364,78.46376963337376,2026-04-11 16:32:00,Under-lit road near Begumpet,3
INC0184,17.496711692083405,78.35803702354,2026-04-11 19:13:00,Poorly lit stretch near Miyapur,2
INC0185,17.491548876258953,78.36781793002937,2026-04-11 19:18:00,Poorly lit stretch near Miyapur,2
INC0186,17.451550103289577,78.39692496011428,2026-04-11 23:00:00,Isolated stretch near HITEC City outskirts,1
INC0187,17.450286856612045,78.39094694279531,2026-04-13 21:20:00,Isolated stretch near HITEC City outskirts,1
INC0188,17.49661938167491,78.36276059091048,2026-04-14 17:42:00,Poorly lit stretch near Miyapur,2
INC0189,17.442934386008215,78.38501322151622,2026-04-14 22:02:00,Isolated stretch near HITEC City outskirts,-1
INC0190,17.40531918672529,78.56289046775065,2026-04-14 22:38:00,Secluded area near Uppal,0
INC0191,17.342439476271885,78.4559321845668,2026-04-15 07:29:00,background/unclustered,-1
INC0192,17.35391878809943,78.49766564106979,2026-04-15 11:04:00,background/unclustered,-1
INC0193,17.449368965657982,78.53514976602565,2026-04-16 16:40:00,background/unclustered,-1
INC0194,17.44188521206539,78.50683949074117,2026-04-16 22:33:00,background/unclustered,-1
INC0195,17.431883076579624,78.47534521388785,2026-04-16 23:29:00,Under-lit road near Begumpet,-1
INC0196,17.399285119004386,78.56508417724596,2026-04-17 15:45:00,Secluded area near Uppal,-1
INC0197,17.411480502186304,78.55582610313184,2026-04-18 15:42:00,Secluded area near Uppal,0
INC0198,17.489668190729294,78.36249847455926,2026-04-18 22:36:00,Poorly lit stretch near Miyapur,2
INC0199,17.399386122335,78.55692031106017,2026-04-18 23:21:00,Secluded area near Uppal,-1
INC0200,17.41055015977703,78.55705993440458,2026-04-19 01:35:00,Secluded area near Uppal,0
INC0201,17.443025719356967,78.39438154896814,2026-04-19 19:37:00,Isolated stretch near HITEC City outskirts,1
INC0202,17.496968201541392,78.36703781122979,2026-04-19 20:40:00,Poorly lit stretch near Miyapur,2
INC0203,17.406838930556752,78.55836425537836,2026-04-20 04:18:00,Secluded area near Uppal,0
INC0204,17.49656580883285,78.36606980505603,2026-04-20 19:44:00,Poorly lit stretch near Miyapur,2
INC0205,17.400485655016883,78.56367501617282,2026-04-21 01:14:00,Secluded area near Uppal,-1
INC0206,17.40751987450528,78.55459804381081,2026-04-21 17:24:00,Secluded area near Uppal,0
INC0207,17.410621323986188,78.56171453704535,2026-04-21 17:46:00,Secluded area near Uppal,0
INC0208,17.409589936817916,78.55968081624114,2026-04-23 00:53:00,Secluded area near Uppal,0
INC0209,17.442218771176897,78.47043269345897,2026-04-23 20:27:00,Under-lit road near Begumpet,3
INC0210,17.424293691002106,78.48535417206035,2026-04-23 22:39:00,background/unclustered,-1
INC0211,17.445266691517926,78.39332966259487,2026-04-23 23:58:00,Isolated stretch near HITEC City outskirts,1
INC0212,17.446338591099188,78.56048138415397,2026-04-24 02:19:00,background/unclustered,-1
INC0213,17.435047076595406,78.4642013946894,2026-04-24 17:57:00,Under-lit road near Begumpet,3
INC0214,17.407339256347182,78.56637207843184,2026-04-24 18:48:00,Secluded area near Uppal,0
INC0215,17.410287290760692,78.55897616699745,2026-04-24 22:16:00,Secluded area near Uppal,0
INC0216,17.451768917995906,78.39533365534484,2026-04-25 05:47:00,Isolated stretch near HITEC City outskirts,1
INC0217,17.431730231599843,78.46714351984195,2026-04-25 20:47:00,Under-lit road near Begumpet,3
INC0218,17.409427954466583,78.5554113387033,2026-04-25 21:30:00,Secluded area near Uppal,0
INC0219,17.465459797462344,78.467335025211,2026-04-26 21:29:00,background/unclustered,-1
INC0220,17.49625580909044,78.36876365486148,2026-04-26 22:10:00,Poorly lit stretch near Miyapur,2
INC0221,17.450192950498295,78.39120868434937,2026-04-26 23:32:00,Isolated stretch near HITEC City outskirts,1
INC0222,17.49089601467607,78.37452390986783,2026-04-27 05:14:00,Poorly lit stretch near Miyapur,-1
INC0223,17.435825130840822,78.4541987603426,2026-04-27 19:57:00,background/unclustered,-1
INC0224,17.434768342801323,78.45953760180169,2026-04-27 21:25:00,Under-lit road near Begumpet,-1
INC0225,17.542455261269637,78.43613686241508,2026-04-28 03:02:00,background/unclustered,-1
INC0226,17.440182431359705,78.46905671830459,2026-04-28 06:15:00,Under-lit road near Begumpet,3
INC0227,17.431300469989388,78.47562857010384,2026-04-28 19:10:00,Under-lit road near Begumpet,-1
INC0228,17.436688427684338,78.46628454225828,2026-04-28 20:33:00,Under-lit road near Begumpet,3
INC0229,17.49835181453696,78.35556853396422,2026-04-28 23:19:00,background/unclustered,2
INC0230,17.404309107917925,78.56329603690335,2026-04-29 03:01:00,Secluded area near Uppal,0
INC0231,17.412495149640776,78.54927301177254,2026-04-29 03:24:00,Secluded area near Uppal,-1
INC0232,17.451196333006102,78.39047694145216,2026-05-01 04:26:00,Isolated stretch near HITEC City outskirts,1
INC0233,17.488709454985212,78.35114338145218,2026-05-01 12:29:00,background/unclustered,-1
INC0234,17.489381628056094,78.36630745462124,2026-05-02 18:24:00,Poorly lit stretch near Miyapur,2
INC0235,17.439556272257484,78.47140523650593,2026-05-02 19:07:00,Under-lit road near Begumpet,3
INC0236,17.402158966904217,78.55462821937454,2026-05-03 11:50:00,Secluded area near Uppal,0
INC0237,17.341870645564768,78.33137035210032,2026-05-03 20:02:00,background/unclustered,-1
INC0238,17.398591330954588,78.46482427152912,2026-05-03 21:43:00,background/unclustered,-1
INC0239,17.44523796253677,78.39318925504665,2026-05-04 01:49:00,Isolated stretch near HITEC City outskirts,1
INC0240,17.44468974312957,78.46962560004384,2026-05-04 20:34:00,Under-lit road near Begumpet,3
INC0241,17.495623909940015,78.36334968534291,2026-05-04 23:10:00,Poorly lit stretch near Miyapur,2
INC0242,17.34928853164322,78.44375496883308,2026-05-05 02:13:00,background/unclustered,-1
INC0243,17.49843596259513,78.49398177402685,2026-05-05 02:56:00,background/unclustered,-1
INC0244,17.448280572221396,78.38996670677493,2026-05-08 02:55:00,Isolated stretch near HITEC City outskirts,1
INC0245,17.444912825127727,78.38544061110125,2026-05-08 22:02:00,Isolated stretch near HITEC City outskirts,1
INC0246,17.443890531467595,78.47367789935483,2026-05-08 23:01:00,Under-lit road near Begumpet,3
INC0247,17.445418808028563,78.39042026492369,2026-05-08 23:39:00,Isolated stretch near HITEC City outskirts,1
INC0248,17.448042487796794,78.39287960934017,2026-05-09 00:31:00,Isolated stretch near HITEC City outskirts,1
INC0249,17.40770453208897,78.55409554569447,2026-05-09 13:01:00,Secluded area near Uppal,0
INC0250,17.4437091201087,78.39705841131259,2026-05-10 03:41:00,Isolated stretch near HITEC City outskirts,1
INC0251,17.44933020156289,78.39120221633694,2026-05-10 23:38:00,Isolated stretch near HITEC City outskirts,1
INC0252,17.463752334708026,78.5976399949022,2026-05-11 04:11:00,background/unclustered,-1
INC0253,17.495265378016523,78.35935343393054,2026-05-11 18:06:00,Poorly lit stretch near Miyapur,2
INC0254,17.493300107152546,78.36784889448613,2026-05-11 23:57:00,Poorly lit stretch near Miyapur,2
INC0255,17.45306449647029,78.4453195342722,2026-05-12 20:15:00,background/unclustered,-1
INC0256,17.37217139888266,78.33273288952972,2026-05-12 20:37:00,background/unclustered,-1
INC0257,17.43873052485892,78.46933376518625,2026-05-12 23:44:00,Under-lit road near Begumpet,3
INC0258,17.436738003706846,78.46526389802706,2026-05-13 01:00:00,Under-lit road near Begumpet,3
INC0259,17.43792835097678,78.4710713014572,2026-05-13 22:43:00,Under-lit road near Begumpet,3
INC0260,17.409808985956122,78.54981705050409,2026-05-15 23:01:00,Secluded area near Uppal,0
INC0261,17.44456494863635,78.3946368327506,2026-05-17 03:26:00,Isolated stretch near HITEC City outskirts,1
INC0262,17.40942540627715,78.55344790261863,2026-05-17 12:29:00,Secluded area near Uppal,0
INC0263,17.537850835551666,78.4804835460439,2026-05-17 22:21:00,background/unclustered,-1
INC0264,17.46287986670057,78.39777763918562,2026-05-19 19:07:00,background/unclustered,-1
INC0265,17.442005707028105,78.47174255431528,2026-05-21 02:28:00,Under-lit road near Begumpet,3
INC0266,17.409651804122387,78.51744796796221,2026-05-21 19:11:00,background/unclustered,-1
INC0267,17.440048586036294,78.4712237363359,2026-05-21 22:21:00,Under-lit road near Begumpet,3
INC0268,17.44036029034793,78.4678309217432,2026-05-21 22:45:00,Under-lit road near Begumpet,3
INC0269,17.495448032872527,78.35920025979924,2026-05-21 23:34:00,Poorly lit stretch near Miyapur,2
INC0270,17.407338608020623,78.56011102203016,2026-05-22 11:36:00,Secluded area near Uppal,0
INC0271,17.453911177243743,78.38589259574883,2026-05-24 20:10:00,Isolated stretch near HITEC City outskirts,1
INC0272,17.43887738049864,78.46508409632202,2026-05-24 23:04:00,Under-lit road near Begumpet,3
INC0273,17.494698558047645,78.36088085233335,2026-05-26 04:03:00,Poorly lit stretch near Miyapur,2
INC0274,17.442788242784708,78.39008753339196,2026-05-26 19:28:00,Isolated stretch near HITEC City outskirts,1
INC0275,17.49038272308794,78.36117627984022,2026-05-26 21:25:00,Poorly lit stretch near Miyapur,2
INC0276,17.455126419814714,78.39499435766254,2026-05-27 00:02:00,Isolated stretch near HITEC City outskirts,1
INC0277,17.439043100808522,78.47091589884427,2026-05-27 00:40:00,Under-lit road near Begumpet,3
INC0278,17.498627565958504,78.37148682930294,2026-05-27 04:05:00,Poorly lit stretch near Miyapur,2
INC0279,17.408053739612896,78.56660718325023,2026-05-28 03:04:00,Secluded area near Uppal,0
INC0280,17.343548334144565,78.58823416544608,2026-05-28 12:23:00,background/unclustered,-1
INC0281,17.43954184061899,78.4724512652479,2026-05-29 12:00:00,Under-lit road near Begumpet,3
INC0282,17.38209530697127,78.48906262449874,2026-05-29 19:14:00,background/unclustered,-1
INC0283,17.342003551936216,78.52106212348325,2026-05-29 22:54:00,background/unclustered,-1
INC0284,17.498064007490413,78.36463174474089,2026-05-30 11:23:00,Poorly lit stretch near Miyapur,2
